NAME,BRAND,BARCODE,SKU CODE,PRODUCT CODE,HSN CODE,PLU NO,COST PRICE,MRP,SALE PRICE,WHOLESALE PRICE,SPECIAL PRICE,ONLINE PRICE,WEIGHT,QUANTITY,EXPIRED QUANTITY,NEAR EXPIRY QUANTITY,TAX,TYPE,CESS,CESS ON,CESS TYPE,TAX AMOUNT,TAXABLE VALUE,CESS TAX AMOUNT,ADDITIONAL CESS TAX AMOUNT,SUPPLIER,DISCOUNT(₹),DISCOUNT(%),ACTUAL MARGIN (₹),MARGIN ON CP (%),MARGIN ON SP (%),CATEGORY,SUB CATEGORY,INSTOCK VALUE
Pur Essence Aquablue,,9780201379624,,,,PLU001,,189,187,187,187,187,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,1.058,187,0,100,Miscellaneous,Miscellaneous,0
Pur Essence Charcoal,,9780201379624,,,,PLU001,,189,185,185,185,185,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,4,2.116,185,0,100,Miscellaneous,Miscellaneous,0
Sree Chandra Red Chilli Pow 1/2 Kg,,9701905929,,,,PLU001,,165,120,120,120,120,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,45,27.273,120,0,100,Miscellaneous,Miscellaneous,0
Chikki Dates 900 G,,9427936631015,,,,PLU001,,200,185,160,160,185,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,15,7.5,185,0,100,Miscellaneous,Miscellaneous,0
Jbs Sweet Bun,,90876123456,,,,PLU001,,24,24,24,24,24,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,24,0,100,Miscellaneous,Miscellaneous,0
Sree Kyathi Nannari 1L,,905944185,,,,PLU001,105,160,140,130,130,130,1 pc,13,0,0,0,CGST + SGST,0,1,1,0,1820,0,0,,20,12.5,35,33.333,25,SOFT DRINK,,1365
Om Shanthi Puja Oil 1l,,901751802764,,,,PLU001,,245,225,225,225,225,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,20,8.163,225,0,100,Miscellaneous,Miscellaneous,0
Lion Slate Pencil Box,,9003009,,,,PLU001,,10,7,7,7,7,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,30,7,0,100,Miscellaneous,Miscellaneous,0
Ruff Burfi Small 100 G,,900300,,,,PLU001,,24,22,22,22,22,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,8.333,22,0,100,Miscellaneous,Miscellaneous,0
Vicks Babyrub 10 Ml,,90020,,,,PLU001,,42,40,40,40,40,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,4.762,40,0,100,Miscellaneous,Miscellaneous,0
Sonepapde Jar 400 G,,900093,,,,PLU001,,70,65,65,65,65,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,7.143,65,0,100,Miscellaneous,Miscellaneous,0
Choki Choki 8g,,8996001375341,,,,PLU001,,5,5,5,5,5,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,5,0,100,Miscellaneous,Miscellaneous,0
Choki Choki 250g,,8996001375327,,,,PLU001,,100,97,97,97,97,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,3,97,0,100,Miscellaneous,Miscellaneous,0
Go Choco Roollz 10 G,,8996001350805,,,,PLU001,,5,5,5,5,5,1 pc,-12,0,0,0,CGST + SGST,0,1,1,0,-60,0,0,,0,0,5,0,100,Miscellaneous,Miscellaneous,0
Go Choco Weelz,,8996001318966,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Malkist Cappuccino 138 G,,8996001312667,,,,PLU001,,50,50,50,50,50,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,50,0,100,Miscellaneous,Miscellaneous,0
Malkist Sugar Crackers 135 G,,8996001312650,,,,PLU001,,35,35,35,35,35,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,35,0,100,Miscellaneous,Miscellaneous,0
Malkist Cheese 138 G,,8996001312506,,,,PLU001,,50,50,50,50,50,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,50,0,100,Miscellaneous,Miscellaneous,0
Malkist Chocolate 138 G,,8996001312490,,,,PLU001,,50,50,50,50,50,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,50,0,100,Miscellaneous,Miscellaneous,0
Malkist Cheese 690 G,,8996001312483,,,,PLU001,,150,145,145,145,145,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.333,145,0,100,Miscellaneous,Miscellaneous,0
Malkist Cheese 23 G,,8996001312476,,,,PLU001,,5,5,5,5,5,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,5,0,100,Miscellaneous,Miscellaneous,0
Malkist Cheese 23 G,,8996001312476,,,,PLU001,,6,6,6,6,6,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,6,0,100,Miscellaneous,Miscellaneous,0
Malkist Chocolate 690 G,,8996001312469,,,,PLU001,,150,145,145,145,145,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.333,145,0,100,Miscellaneous,Miscellaneous,0
